restaurant,street,city,state,zip,street_len,concat
Feast and Imbibe,1601 Simpson Unit 3,Evanston,IL,60202,4,"1601 Simpson Unit 3, Evanston, IL 60202"
Feast Kitchen and Grill,6282 Hollywood Blvd,Hollywood,CA,90028,3,"6282 Hollywood Blvd, Hollywood, CA 90028"
Fedora Lounge,712 N Clark St,Chicago,IL,60654,4,"712 N Clark St, Chicago, IL 60654"
Fedora Lounge,712 N Clark St,Chicago,IL,60654,4,"712 N Clark St, Chicago, IL 60654"
Feed,2803 W. Chicago Ave,Chicago,IL,60622,4,"2803 W. Chicago Ave, Chicago, IL 60622"
Feed Me More,177-40 135th ave.,New York City,NY,11834,3,"177-40 135th ave., New York City, NY 11834"
Felicia's Deli,664 Meacham Rd,Elk Grove Village,IL,60007,3,"664 Meacham Rd, Elk Grove Village, IL 60007"
Felicia's Deli,664 Meacham Rd,Elk Grove Village,IL,60007,3,"664 Meacham Rd, Elk Grove Village, IL 60007"
Fellini Restaurant & Pizzeria,1729 W Golf Rd,Mount Prospect,IL,60056,4,"1729 W Golf Rd, Mount Prospect, IL 60056"
Fernando's,3450 N. Lincoln Ave,Chicago,IL,60657,4,"3450 N. Lincoln Ave, Chicago, IL 60657"
Fernando's,380 N 114 St,Omaha,NE,68154,4,"380 N 114 St, Omaha, NE 68154"
Ferris and Jack Restaurant,166 East Superior,Chicago,IL,60611,3,"166 East Superior, Chicago, IL 60611"
Feta's Gyros,743 N 114th St,Omaha,NE,68154,4,"743 N 114th St, Omaha, NE 68154"
Fiamme,19 N Washington St,Naperville,IL,60540,4,"19 N Washington St, Naperville, IL 60540"
Fiesta Del Sol,2302 S. Blue ISland Ave,Chicago,IL,60608,5,"2302 S. Blue ISland Ave, Chicago, IL 60608"
Fig and Olive,10 East 52nd Street,New York,NY,10022,4,"10 East 52nd Street, New York, NY 10022"
Figaro's,105 Beach St.,Boston,MA,2111,3,"105 Beach St., Boston, MA 2111"
FIG Catering,1850 S Blue Island,Chicago,IL,60608,4,"1850 S Blue Island, Chicago, IL 60608"
Filini,221 N Columbus Dr,Chicago,IL,60601,4,"221 N Columbus Dr, Chicago, IL 60601"
Filippo's Ristorante,2211 N. Clybourn Ave,Chicago,IL,60614,4,"2211 N. Clybourn Ave, Chicago, IL 60614"
Fina Estampa,6619 N Clark St,Chicago,IL,60626,4,"6619 N Clark St, Chicago, IL 60626"
Fine's,147 N Milwaukee Ave,Libertyville,IL,60048,4,"147 N Milwaukee Ave, Libertyville, IL 60048"
Fine's Restaurant,147 N Milwaukee Ave,Libertyville,IL,60048,4,"147 N Milwaukee Ave, Libertyville, IL 60048"
Finesse Cuisine,"1332 N. Halsted Street, Suite 305",Chicago,IL,60622,6,"1332 N. Halsted Street, Suite 305, Chicago, IL 60622"
Finn McCool's,1941 E Algonquin Rd,Schaumburg,IL,60159,4,"1941 E Algonquin Rd, Schaumburg, IL 60159"
Finn McCool's,15 W. Division Street,Chicago,IL,60610,4,"15 W. Division Street, Chicago, IL 60610"
Fin Sushi Bar,1742 W Wilson Ave,Chicago,IL,60640,4,"1742 W Wilson Ave, Chicago, IL 60640"
Fiore's,2258 E. Erie Street,Chicago,IL,60612,4,"2258 E. Erie Street, Chicago, IL 60612"
Fiorentino's Cucina,2901 N. Ashland Ave,Chicago,IL,60657,4,"2901 N. Ashland Ave, Chicago, IL 60657"
Firebox BBQ,347 Great Road,Bedford,MA,1730,3,"347 Great Road, Bedford, MA 1730"
Firecakes,68 W Hubbard St,Chicago,IL,60654,4,"68 W Hubbard St, Chicago, IL 60654"
Firefly,3335 N Halsted St,Chicago,IL,60657,4,"3335 N Halsted St, Chicago, IL 60657"
Firehouse Steak and Lemonade,100 W 87th St,Chicago,IL,60620,4,"100 W 87th St, Chicago, IL 60620"
Firehouse Subs- Alpharetta,po box 2801,Woodstock,GA,30188,3,"po box 2801, Woodstock, GA 30188"
Firehouse Subs - Atlanta,225 Peachtree St,Atlanta,GA,30303,3,"225 Peachtree St, Atlanta, GA 30303"
Firehouse Subs - Joliet,1522 S Rt 59,Joliet,IL,60431,4,"1522 S Rt 59, Joliet, IL 60431"
Firehouse Subs - Mt Prospect,1 West Rand Road,Mt. Prospect,IL,60056,4,"1 West Rand Road, Mt. Prospect, IL 60056"
Firehouse Subs - Sandy Springs,610 Glenridge Dr #102,Sandy Springs,GA,30342,4,"610 Glenridge Dr #102, Sandy Springs, GA 30342"
Firehouse Subs-Stone Park IL,3124 w North Avenue,Stone Park,IL,60165,4,"3124 w North Avenue, Stone Park, IL 60165"
Firehouse Subs Wheaton,272 Danada Sq W,Wheaton,IL,60189,4,"272 Danada Sq W, Wheaton, IL 60189"
Fire It Up,572 Weston Ridge Dr Ste 112,Naperville,IL,60563,6,"572 Weston Ridge Dr Ste 112, Naperville, IL 60563"
Firenze,45 S Washington St,Hinsdale,IL,60521,4,"45 S Washington St, Hinsdale, IL 60521"
Fireside Restaurant,5739 N. Ravenswood,Chicago,IL,60657,3,"5739 N. Ravenswood, Chicago, IL 60657"
First Cup Cafe,111 E 1st St,Elmhurst,IL,60126,4,"111 E 1st St, Elmhurst, IL 60126"
First Place Sports Bar,1736 W Algonquin Rd,Hoffman Estates,IL,60192,4,"1736 W Algonquin Rd, Hoffman Estates, IL 60192"
First Slice,163 E Pearson,Chicago,IL,60611,3,"163 E Pearson, Chicago, IL 60611"
First Slice Pie Cafe,5357 N Ashland Ave,Chicago,IL,60640,4,"5357 N Ashland Ave, Chicago, IL 60640"
Fish Bar,2956 N Sheffield Ave,Chicago,IL,60657,4,"2956 N Sheffield Ave, Chicago, IL 60657"
Fishpond,4416 N Clark St,Chicago,IL,60640,4,"4416 N Clark St, Chicago, IL 60640"
Fitz's Pub II the Irish Bulldog,314 W Saint Charles Rd,Villa Park,IL,60181,5,"314 W Saint Charles Rd, Villa Park, IL 60181"
Five Guys Burgers & Fries,6474 N Sheridan Rd,Chicago,IL,60626,4,"6474 N Sheridan Rd, Chicago, IL 60626"
Five Spice,2571 S 177th Plz,Omaha,NE,68130,4,"2571 S 177th Plz, Omaha, NE 68130"
five star,1424 West Chicago,Chicago,IL,60642,3,"1424 West Chicago, Chicago, IL 60642"
Five Star BBQ,85 mt vernon hwy,Sandy Springs,GA,30328,4,"85 mt vernon hwy, Sandy Springs, GA 30328"
Five Tacos,119 Saint Marks Place,New York,NY,10009,4,"119 Saint Marks Place, New York, NY 10009"
Flaco's Tacos,725 S. Dearborn,Chicago,IL,60605,3,"725 S. Dearborn, Chicago, IL 60605"
Flaco's Tacos - Lakeview,3530 N Clark St (between Eddy St & Cornelia Ave),Chicago,IL,60657,10,"3530 N Clark St (between Eddy St & Cornelia Ave), Chicago, IL 60657"
Flame Cafe,2 Oliver St,Boston,MA,2109,3,"2 Oliver St, Boston, MA 2109"
Flamingo Bar and Grill,440 E. Grand Ave,Chicago,IL,60611,4,"440 E. Grand Ave, Chicago, IL 60611"
Flat Top Grill,30 S Wabash Ave,Chicago,IL,60603,4,"30 S Wabash Ave, Chicago, IL 60603"
Flavor 180,1511 S State St,Chicago,IL,60605,4,"1511 S State St, Chicago, IL 60605"
Flavors,27 Whitehall St (between Bridge St & Pearl St),New York,NY,10004,9,"27 Whitehall St (between Bridge St & Pearl St), New York, NY 10004"
Fleming's Prime Steakhouse & Wine Bar - Chicago,25 E. Ohio Street,Chicago,IL,60611,4,"25 E. Ohio Street, Chicago, IL 60611"
Fletcher's BBQ,433 3rd Ave,Brooklyn,NY,11215,3,"433 3rd Ave, Brooklyn, NY 11215"
Flip Burger Boutique,3655 Roswell Rd NE,Atlanta,GA,30305,4,"3655 Roswell Rd NE, Atlanta, GA 30305"
Flip Burger Boutique - Nashville,4111 Charlotte Ave,Nashville,TN,37209,3,"4111 Charlotte Ave, Nashville, TN 37209"
Flip Crepes,131 N Clinton St,Chicago,IL,60661,4,"131 N Clinton St, Chicago, IL 60661"
Flips Beef & Hot Dogs,340 Roosevelt Rd,Glen Ellyn,IL,60137,3,"340 Roosevelt Rd, Glen Ellyn, IL 60137"
Flo,1434 W. Chicago Ave,Chicago,IL,60622,4,"1434 W. Chicago Ave, Chicago, IL 60622"
Florian Opera Bistro,20 N. Wacker,Chicago,IL,60606,3,"20 N. Wacker, Chicago, IL 60606"
Flub A Dub Chubs,3021 N. Broadway,Chicago,IL,60657,3,"3021 N. Broadway, Chicago, IL 60657"
Flying Saucer,1123 N. California Ave,Chicago,IL,60622,4,"1123 N. California Ave, Chicago, IL 60622"
FM Asian Food Mart,2001 W 75th St,Woodridge,IL,60517,4,"2001 W 75th St, Woodridge, IL 60517"
Fogo de Chao,661 North LaSalle Street,Chicago,IL,60654,4,"661 North LaSalle Street, Chicago, IL 60654"
Folklore,2100 West Division Street,Chicago,IL,60622,4,"2100 West Division Street, Chicago, IL 60622"
Fonda Isabel,18 W 333 Roosevelt,Lombard,IL,60148,4,"18 W 333 Roosevelt, Lombard, IL 60148"
Fontanella,2414 S Oakley Ave,Chicago,IL,60608,4,"2414 S Oakley Ave, Chicago, IL 60608"
Fontano's Subs,20 E Jackson Blvd,Chicago,IL,60604,4,"20 E Jackson Blvd, Chicago, IL 60604"
Fontano's Subs,113 W 1st St,Elmhurst,IL,60126,4,"113 W 1st St, Elmhurst, IL 60126"
Fontano Subs,9 S Lincoln St,Hinsdale,IL,60521,4,"9 S Lincoln St, Hinsdale, IL 60521"
Fooda Classics (BBn),1588 N Naperville Wheaton Rd,Naperville,IL,60563,5,"1588 N Naperville Wheaton Rd, Naperville, IL 60563"
Fooda Classics (BBs),1420 Golf Rd,Rolling Meadows,IL,60008,3,"1420 Golf Rd, Rolling Meadows, IL 60008"
Fooda Classics (Tb),1 Post Office Place,Boston,MA,2109,4,"1 Post Office Place, Boston, MA 2109"
Fooda Classics (TLA),700 Wilshire Blvd,Los Angeles,CA,90017,3,"700 Wilshire Blvd, Los Angeles, CA 90017"
Fooda Classics (WT),1916 W. Chicago Ave.,Chicago,IL,60622,4,"1916 W. Chicago Ave., Chicago, IL 60622"
FoodEase,835 N Michigan Ave,Chicago,IL,60611,4,"835 N Michigan Ave, Chicago, IL 60611"
Food Fair by Diego,7825 beverly blvd,Los Angeles,CA,90036,3,"7825 beverly blvd, Los Angeles, CA 90036"
Food For Thought,7001 N. Ridgeway,Lincolnwood,IL,60712,3,"7001 N. Ridgeway, Lincolnwood, IL 60712"
Food For Thought,435 North Michigan Avenue,Chicago,IL,60611,4,"435 North Michigan Avenue, Chicago, IL 60611"
Food Lovers,648 English Ave,Atlanta,GA,30318,3,"648 English Ave, Atlanta, GA 30318"
Foodstuffs,222 Merchandise Mart Plz,Chicago,IL,60654,4,"222 Merchandise Mart Plz, Chicago, IL 60654"
Foodstuffs,2106 Central St.,Evanston,IL,60201,3,"2106 Central St., Evanston, IL 60201"
Food Therapy,3125 Briarcliff Rd Unit A,Atlanta,GA,30329,5,"3125 Briarcliff Rd Unit A, Atlanta, GA 30329"
Food Underground,517 reed st,Philadelphia,PA,19147,3,"517 reed st, Philadelphia, PA 19147"
Forest Glen Diner,5200 N Elston Ave,Chicago,IL,60686,4,"5200 N Elston Ave, Chicago, IL 60686"
Fork,4600 N Lincoln Ave,Chicago,IL,60625,4,"4600 N Lincoln Ave, Chicago, IL 60625"
Formosa Cafe,1001 W 75th St,Woodridge,IL,60516,4,"1001 W 75th St, Woodridge, IL 60516"
Fornello,1011 W Irving Park Rd,Chicago,IL,60613,5,"1011 W Irving Park Rd, Chicago, IL 60613"
Fornetto Mei Restaurant,107 E. Delaware Place,Chicago,IL,60611,4,"107 E. Delaware Place, Chicago, IL 60611"
Forno Diablo,433 W Diversey Pkwy,Chicago,IL,60614,4,"433 W Diversey Pkwy, Chicago, IL 60614"
Forno Palese,369 N Wood Dale Rd,Wood Dale,IL,60191,5,"369 N Wood Dale Rd, Wood Dale, IL 60191"
Fortune House,2211 W Schaumburg Rd,Schaumburg,IL,60194,4,"2211 W Schaumburg Rd, Schaumburg, IL 60194"
Fortune House,2211 W Schaumburg Rd,Schaumburg,IL,60194,4,"2211 W Schaumburg Rd, Schaumburg, IL 60194"
Fortune Kookie,570 N Smith St,Palatine,IL,60074,4,"570 N Smith St, Palatine, IL 60074"
Foster's Shrimp House,1706 W Wise Rd,Schaumburg,IL,60193,4,"1706 W Wise Rd, Schaumburg, IL 60193"
Fountainhead,1970 W Montrose Ave,Chicago,IL,60640,4,"1970 W Montrose Ave, Chicago, IL 60640"
Four Belly,3227 N Clark St (between School St & Aldine Ave),Chicago,IL,60657,10,"3227 N Clark St (between School St & Aldine Ave), Chicago, IL 60657"
Four Corners,3258 n southport,Chicago,IL,60657,3,"3258 n southport, Chicago, IL 60657"
Four Moon Tavern,1847 W Roscoe St,Chicago,IL,60657,4,"1847 W Roscoe St, Chicago, IL 60657"
Four Spoons Thai inspired cuisine & Bar,796 Beacon St,Newton,MA,2459,3,"796 Beacon St, Newton, MA 2459"
Four Stars Pizza,1201 W Cermak Rd,Broadview,IL,60155,4,"1201 W Cermak Rd, Broadview, IL 60155"
Fox and Hound,1416 N Roselle Rd,Schaumburg,IL,60195,4,"1416 N Roselle Rd, Schaumburg, IL 60195"
Fox and Hound English Pub & Grille,4320 E New York St,Aurora,IL,60504,5,"4320 E New York St, Aurora, IL 60504"
Fox Restaurant,2290 Ogden Ave,Aurora,IL,60504,3,"2290 Ogden Ave, Aurora, IL 60504"
Frances' Deli,2552 N. ClarK,Chicago,IL,60614,3,"2552 N. ClarK, Chicago, IL 60614"
Francesca's,1145 Church St,Northbrook,IL,60062,3,"1145 Church St, Northbrook, IL 60062"
Francesca's Amici,174 N York St,Elmhurst,IL,60126,4,"174 N York St, Elmhurst, IL 60126"
Francesca's at the Promenade,641 E Boughton Rd,Bolingbrook,IL,60440,4,"641 E Boughton Rd, Bolingbrook, IL 60440"
Francesca's on Chestnut,200 E Chestnut St,Chicago,IL,60611,4,"200 E Chestnut St, Chicago, IL 60611"
Francesca's on Taylor,1400 W Taylor St,Chicago,IL,60607,4,"1400 W Taylor St, Chicago, IL 60607"
Francesca's Passaggio,3124 S Route 59,Naperville,IL,60564,4,"3124 S Route 59, Naperville, IL 60564"
Francesca's Tavola,208 S Arlington Heights Road,Arlington Heights,IL,60005,5,"208 S Arlington Heights Road, Arlington Heights, IL 60005"
Francesco's Brothers Pizzeria,1207 W Irving Park Rd,Bensenville,IL,60106,5,"1207 W Irving Park Rd, Bensenville, IL 60106"
Francesco's Hole In the Wall,254 Skokie Blvd,Northbrook,IL,60062,3,"254 Skokie Blvd, Northbrook, IL 60062"
Franco's Cucina,1550 Bourbon Pkwy,Streamwood,IL,60107,3,"1550 Bourbon Pkwy, Streamwood, IL 60107"
Franco's Ristorante,300 W 31st ST,Chicago,IL,60616,4,"300 W 31st ST, Chicago, IL 60616"
Franco's Tacos & Latin Café,1300 E 47th St,Chicago,IL,60615,4,"1300 E 47th St, Chicago, IL 60615"
Frango Cafe,111 N State St,Chicago,IL,60602,4,"111 N State St, Chicago, IL 60602"
Frankie's Deli,4 Convenience Center,Lombard,IL,60148,3,"4 Convenience Center, Lombard, IL 60148"
Frankie's Pizzeria and Scaloppine,900 N Michigan Ave,Chicago,IL,60611,4,"900 N Michigan Ave, Chicago, IL 60611"
Frankies Scaloppine,900 N Michigan Ave,Chicago,IL,60611,4,"900 N Michigan Ave, Chicago, IL 60611"
Franklin Tap,325 S Franklin,Chicago,IL,60606,3,"325 S Franklin, Chicago, IL 60606"
Frankly Yours Original,1820 W Irving Park Rd,Schaumburg,IL,60193,5,"1820 W Irving Park Rd, Schaumburg, IL 60193"
Frankly Yours West,1580 E Algonquin Rd,Schaumburg,IL,60173,4,"1580 E Algonquin Rd, Schaumburg, IL 60173"
Franky's Red Hots,1250 W Lake St,Addison,IL,60101,4,"1250 W Lake St, Addison, IL 60101"
Frannie's Beef and Catering,4304 N River Rd,Schiller Park,IL,60176,4,"4304 N River Rd, Schiller Park, IL 60176"
Frantonio's Deli,421 N. Northwest Highway,Barrington,IL,60010,4,"421 N. Northwest Highway, Barrington, IL 60010"
Frasca,3358 N Paulina St,Chicago,IL,60657,4,"3358 N Paulina St, Chicago, IL 60657"
Fratelli's Italian Bistro,1339 Chestnut Street,Philadelphia,PA,19107,3,"1339 Chestnut Street, Philadelphia, PA 19107"
Fratellos II,3301 Kirchoff Rd,Rolling Mdws,IL,60008,3,"3301 Kirchoff Rd, Rolling Mdws, IL 60008"
Frato's Eatery,628 S Roselle Rd,Schaumburg,IL,60193,4,"628 S Roselle Rd, Schaumburg, IL 60193"
Freckled and Blue,4585 S Cobb Dr SE Suite 100,Atlanta,GA,30080,7,"4585 S Cobb Dr SE Suite 100, Atlanta, GA 30080"
Fred's Place,544 W Lake St,Elmhurst,IL,60126,4,"544 W Lake St, Elmhurst, IL 60126"
Fresco's Mediterranean Cafe,143 N York Rd,Elmhurst,IL,60126,4,"143 N York Rd, Elmhurst, IL 60126"
Fresh and Co,350 W. 38th Street,New York,NY,10018,4,"350 W. 38th Street, New York, NY 10018"
Fresh Catch,660 E Gish Rd,San Jose,CA,95112,4,"660 E Gish Rd, San Jose, CA 95112"
Fresh Choice,233 N Michigan Ave,Chicago,IL,60601,4,"233 N Michigan Ave, Chicago, IL 60601"
Fresh City Burritos and Bowls,75 Federal St,Boston,MA,2110,3,"75 Federal St, Boston, MA 2110"
Fresh City Deli,75 Federal St,Boston,MA,2110,3,"75 Federal St, Boston, MA 2110"
Fresh Deli Llc,1750 E Golf Rd,Schaumburg,IL,60173,4,"1750 E Golf Rd, Schaumburg, IL 60173"
Freshii - Boston,100 High St,Boston,MA,2110,3,"100 High St, Boston, MA 2110"
Freshii - Clark,28 N Clark,Chicago,IL,60601,3,"28 N Clark, Chicago, IL 60601"
Freshii Evanston,1596 Sherman Ave,Evanston,IL,60601,3,"1596 Sherman Ave, Evanston, IL 60601"
Freshii - Jackson,11 W Jackson,Chicago,IL,60614,3,"11 W Jackson, Chicago, IL 60614"
Freshii LaSalle,350 N LaSalle,Chicago,IL,60654,3,"350 N LaSalle, Chicago, IL 60654"
Freshii Oak Brook,3021 Butterfield Road,Oak Brook,IL,60523,3,"3021 Butterfield Road, Oak Brook, IL 60523"
Fresh Market at Fairbanks,250 E Superior St,Chicago,IL,60611,4,"250 E Superior St, Chicago, IL 60611"
Fresh Start Cafe,1038 S York Rd,Elmhurst,IL,60126,4,"1038 S York Rd, Elmhurst, IL 60126"
Fresh Start Café - Old,1038 S York Rd,Elmhurst,IL,60126,4,"1038 S York Rd, Elmhurst, IL 60126"
Friaco's Mexican Restaurant,4405 Fox Valley Center Dr,Aurora,IL,60504,5,"4405 Fox Valley Center Dr, Aurora, IL 60504"
Friday's,153 E Erie St,Chicago,IL,60611,4,"153 E Erie St, Chicago, IL 60611"
Friendship Chinese Restaurant,200 N Lake Front Dr,Chicago,IL,60611,5,"200 N Lake Front Dr, Chicago, IL 60611"
Friendship On The Lake,200 E Lake Front Dr,Chicago,IL,60611,5,"200 E Lake Front Dr, Chicago, IL 60611"
Friends Sushi,710 N. Rush St.,Chicago,IL,60611,4,"710 N. Rush St., Chicago, IL 60611"
Frog n Snail,3124 N Broadway Ave,Chicago,IL,60657,4,"3124 N Broadway Ave, Chicago, IL 60657"
Frontera Fresco,111 N State St,Chicago,IL,60602,4,"111 N State St, Chicago, IL 60602"
Frontera Grill,445 N. Clark St,Chicago,IL,60654,4,"445 N. Clark St, Chicago, IL 60654"
Frontier,1072 N Milwaukee Ave,Chicago,IL,60642,4,"1072 N Milwaukee Ave, Chicago, IL 60642"
Front Street Cantina,319 Front St,Lemont,IL,60439,3,"319 Front St, Lemont, IL 60439"
Front Street Cantina,15 W Jefferson Ave,Naperville,IL,60540,4,"15 W Jefferson Ave, Naperville, IL 60540"
Front Street Cocina,112 N Hale St,Wheaton,IL,60187,4,"112 N Hale St, Wheaton, IL 60187"
Frost Gelato,50 S Main St,Naperville,IL,60540,4,"50 S Main St, Naperville, IL 60540"
Frozen Hoagies,864 broadway,Somerville,MA,2144,2,"864 broadway, Somerville, MA 2144"
Fruit Farm,333 S Alameda St,Los Angeles,CA,90013,4,"333 S Alameda St, Los Angeles, CA 90013"
Frullati Cafe,5 Woodfield Mall,Schaumburg,IL,60159,3,"5 Woodfield Mall, Schaumburg, IL 60159"
Fuddruckers,436 E Golf Rd,Schaumburg,IL,60173,4,"436 E Golf Rd, Schaumburg, IL 60173"
Fuddruckers,1500 Branding Ln,Downers Grove,IL,60515,3,"1500 Branding Ln, Downers Grove, IL 60515"
Fuel Fit Kitchen,15687 Spauldng,Omaha,NE,68154,2,"15687 Spauldng, Omaha, NE 68154"
Fuh,2218 N Lincoln Ave,Chicago,IL,60606,4,"2218 N Lincoln Ave, Chicago, IL 60606"
Fuji at Assembly,320 Canal St,Somerville,MA,2145,3,"320 Canal St, Somerville, MA 2145"
Fujiyama Japanese Restaurant,3057 Dundee Rd,Northbrook,IL,60062,3,"3057 Dundee Rd, Northbrook, IL 60062"
Ful,3310 N. Broadway,Chicago,IL,60657,3,"3310 N. Broadway, Chicago, IL 60657"
Full Cup,3794 Roswell Rd,Atlanta,GA,30342,3,"3794 Roswell Rd, Atlanta, GA 30342"
Fulton's on The River,315 North LaSalle Street,Chicago,IL,60654,4,"315 North LaSalle Street, Chicago, IL 60654"
fundamental LA,1303 Westwood Blvd,Los Angeles,CA,90024,3,"1303 Westwood Blvd, Los Angeles, CA 90024"
Fusion Land,1939 S Plum Grove Rd,Palatine,IL,60067,5,"1939 S Plum Grove Rd, Palatine, IL 60067"
Fu Yuan,118 W Liberty Dr,Wheaton,IL,60187,4,"118 W Liberty Dr, Wheaton, IL 60187"
G&G,24 E. Adams Street,Chicago,IL,60603,4,"24 E. Adams Street, Chicago, IL 60603"
G & G Restaurant,24 E Adams St,Chicago,IL,60603,4,"24 E Adams St, Chicago, IL 60603"
Gabutto Burger,100 E Algonquin Rd,Arlington Heights,IL,60005,4,"100 E Algonquin Rd, Arlington Heights, IL 60005"
Gaia Italian Cafe,251 E Houston St,New York,NY,10002,4,"251 E Houston St, New York, NY 10002"
Gale Street Inn,4914 N. Milwakee,Chicago,IL,60630,3,"4914 N. Milwakee, Chicago, IL 60630"
Galway Arms,2442 N Clark St,Chicago,IL,60614,4,"2442 N Clark St, Chicago, IL 60614"
Gameworks,601 N Martingale Rd,Schaumburg,IL,60173,4,"601 N Martingale Rd, Schaumburg, IL 60173"
Ganko Ittetsu Ramen,318 Harvard St Unit 3,Brookline,MA,2446,5,"318 Harvard St Unit 3, Brookline, MA 2446"
Garcia's Restaurant,1758 W Lawrence Ave,Chicago,IL,60640,4,"1758 W Lawrence Ave, Chicago, IL 60640"
Garden Cafe,11040 Oak St,Omaha,NE,68144,3,"11040 Oak St, Omaha, NE 68144"
Garden of Eating,5499 W Washington Blvd,Los Angeles,CA,90016,4,"5499 W Washington Blvd, Los Angeles, CA 90016"
Garden of Eden,2780 Broadway,Ny,NY,10025,2,"2780 Broadway, Ny, NY 10025"
Garibaldi's Italian Eatery Arlington Heights,1960 N Arlington Heights Rd,Arlington Heights,IL,60004,5,"1960 N Arlington Heights Rd, Arlington Heights, IL 60004"
Garibaldi's Italian Eatery Hoffman Estates,2346 W Higgins Rd,Hoffman Estates,IL,60169,4,"2346 W Higgins Rd, Hoffman Estates, IL 60169"
Garibaldi's Pizza & Pasta House,300 W N Ave,Villa Park,IL,60181,4,"300 W N Ave, Villa Park, IL 60181"
Garibaldi's Pizza & Pasta House,132 E Golf Rd,Arlington Heights,IL,60005,4,"132 E Golf Rd, Arlington Heights, IL 60005"
Garifuna Flava,2518 W 63rd St.,Chicago,IL,60629,4,"2518 W 63rd St., Chicago, IL 60629"
Garios Pizza Villa,815 Montgomery Road,Montgomery,IL,60538,3,"815 Montgomery Road, Montgomery, IL 60538"
Garlic 'N Lemons,133 Harvard Ave,Allston,MA,2134,3,"133 Harvard Ave, Allston, MA 2134"
Garlic and chili thai cuisine,1232 N La Salle Drive,Chicago,IL,60610,5,"1232 N La Salle Drive, Chicago, IL 60610"
Gary Burritos,381 N Gary Ave,Carol Stream,IL,60188,4,"381 N Gary Ave, Carol Stream, IL 60188"
Gators Wing Shack,1719 Rand Rd,Palatine,IL,60074,3,"1719 Rand Rd, Palatine, IL 60074"
Gatsby's Pizza & Pub Inc,427 E Rand Rd,Arlington Heights,IL,60004,4,"427 E Rand Rd, Arlington Heights, IL 60004"
Gatto's Restaurant,5123 Main St,Downers Grove,IL,60515,3,"5123 Main St, Downers Grove, IL 60515"
Gaudi Cafe,624 N. Ashland Ave,Chicago,IL,60622,4,"624 N. Ashland Ave, Chicago, IL 60622"
Gaylord Fine Indian Cuisine,100 E. Walton St,Chicago,IL,60611,4,"100 E. Walton St, Chicago, IL 60611"
Gaylord India Restaurant,555 Mall Dr,Schaumburg,IL,60173,3,"555 Mall Dr, Schaumburg, IL 60173"
Gee Hoy Restaurant,1724 Dempster St,Mount Prospect,IL,60056,3,"1724 Dempster St, Mount Prospect, IL 60056"
Gejas Cafe,340 W. Armitage Ave,Chicago,IL,60614,4,"340 W. Armitage Ave, Chicago, IL 60614"
Gelato Ti Amo,12 John St,New York,NY,10038,3,"12 John St, New York, NY 10038"
Gemato's Wood Pit BBQ,1566 W Ogden Ave,Naperville,IL,60540,4,"1566 W Ogden Ave, Naperville, IL 60540"
Gemini Bistro,2075 N. Lincoln Ave,Chicago,IL,60614,4,"2075 N. Lincoln Ave, Chicago, IL 60614"
Gene & Georgetti,500 N Franklin St,Chicago,IL,60610,4,"500 N Franklin St, Chicago, IL 60610"
Gene & Jude's Red Hot Stand,2720 River Rd,River Grove,IL,60171,3,"2720 River Rd, River Grove, IL 60171"
Generoso Pizza,314 East Army Trail Road,Glendale Heights,IL,60139,5,"314 East Army Trail Road, Glendale Heights, IL 60139"
Geneva Restaurant,323 E Wacker Dr,Chicago,IL,60601,4,"323 E Wacker Dr, Chicago, IL 60601"
Genghis Grill,106 N Hale St,Wheaton,IL,60187,4,"106 N Hale St, Wheaton, IL 60187"
Gennaro's Restaurant,1352 W Taylor St,Chicago,IL,60607,4,"1352 W Taylor St, Chicago, IL 60607"
Genoa Pizza Inc,3577 E New York St,Aurora,IL,60504,5,"3577 E New York St, Aurora, IL 60504"
Gente Ristorante,153 E 45th St,New York,NY,10017,4,"153 E 45th St, New York, NY 10017"
Gentleman's Deli,5966 W Olympic Blvd,Los Angeles,CA,90036,4,"5966 W Olympic Blvd, Los Angeles, CA 90036"
George's Liquor & Deli,1964 W Lawrence Ave,Chicago,IL,60640,4,"1964 W Lawrence Ave, Chicago, IL 60640"
George's Restaurant,990 N State St,Lockport,IL,60441,4,"990 N State St, Lockport, IL 60441"
Get Fruity Cafe,79 Marietta St NW,Atlanta,GA,30303,4,"79 Marietta St NW, Atlanta, GA 30303"
GFG Hoboken,221 River Street,Hoboken,NJ,7030,3,"221 River Street, Hoboken, NJ 7030"
Gianni's Cafe,22 W Station St,Palatine,IL,60067,4,"22 W Station St, Palatine, IL 60067"
Gianorio's Downtown,0S100 Winfield Rd,Winfield,IL,60190,3,"0S100 Winfield Rd, Winfield, IL 60190"
Gianorio's Pizza & Pasta,434 S Main St,Lombard,IL,60148,4,"434 S Main St, Lombard, IL 60148"
Gianorios Pizza,27W193 Geneva Rd,Winfield,IL,60190,3,"27W193 Geneva Rd, Winfield, IL 60190"
Gibson's Bar and Steakhouse - Chicago,"1028 North Rush Street,Chicago, IL 60611",Chicago,IL,60611,6,"1028 North Rush Street,Chicago, IL 60611, Chicago, IL 60611"
Gigi's Restaurant & Pancake,2728 111th St,Naperville,IL,60564,3,"2728 111th St, Naperville, IL 60564"
Gigio's Pizzeria,4643 N. Broadway St,Chicago,IL,60657,4,"4643 N. Broadway St, Chicago, IL 60657"
